"FCH4","TA","WTD","VPD","GPP_PI_F_NT_gC","SO4_pred_interp","TP_interp","DOC_interp","NH4_N_interp","NO3_NO2_N_interp","pH_interp","site"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hogg"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hogg"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hogg"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hogg"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hogg"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hogg"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hogg"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hogg"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hogg"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hogg"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hogg"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hogg"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hogg"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hogg"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hogg"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hogg"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hogg"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hogg"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hogg"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hogg"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hogg"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hogg"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hogg"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hogg"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hogg"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hogg"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hogg"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hogg"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hogg"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hogg"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hogg"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hogg"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hogg"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hogg"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hogg"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hogg"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hogg"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hogg"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hogg"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hogg"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hogg"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hogg"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hogg"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hogg"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hogg"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hogg"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hogg"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hogg"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hogg"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hogg"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hogg"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hogg"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hogg"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hogg"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hogg"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hogg"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hogg"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hogg"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hogg"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hogg"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hogg"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hogg"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hogg"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hogg"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hogg"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hogg"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hogg"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hogg"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hogg"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hogg"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hogg"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hogg"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hogg"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hogg"
